name	url	region	city	address
Heavy Mettle Jiu Jitsu	https://www.heavymettlejj.com	NH	North Hampton	69 Lafayette Road, Unit 7, North Hampton, NH 03862
Heiho Dojo	https://www.heihodojo.ca	AB	Grande Prairie	10015 100 Ave, Grande Prairie, AB T8V 0V2
Helio Soneca/ 8ight Limbs Academy	https://www.the8ightlimbsacademy.com/	TX	Harlingen	109 South Expressway 77
Helix Brazilian Jiu-Jitsu	https://www.facebook.com/helixbjj/	GA	Snellville	2073 Westside Ct A
Hellman's Mixed Martial Arts	https://hellmansmma.com/	FL	Tampa	12202 Race Track Rd
Heritage Jiu-Jitsu	https://heritagebjj.com	SC	Moncks Corner	314 Rembert C. Dennis Blvd, Moncks Corner, SC 29461
Hero Academy	https://hero-academy.ca	BC	North Vancouver	208 - 250 Esplanade E, North Vancouver, BC V7L 1B4
Hero Fitness Academy	https://herofitnessacademy.com/	LA	Calhoun	985 US-80
Hero Jiu Jitsu	https://herojiujitsu.com	NH	Exeter	3 Holland Way, Exeter, NH 03833
Hess' Oriental Martial Arts	https://hessma.com/	OH	Fremont	815 Croghan St
Hibiscus Brazilian Jiu-Jitsu	https://www.hibiscusbjj.com/	NJ	North Haledon	527 High Mountain Rd
Hicsmma	https://www.hicsmma.com/	KY	Bowling Green	150 Dishman Ln Building D
Hidden Fist Mixed Martial Arts Academy	https://www.hiddenfistacademy.com	NY	Queens	41-25 Bell Blvd
Hidden Samurai Martial Arts	https://hsmaa7.wixsite.com/hiddensamurai	KY	Owensboro	1221 Moseley Street
Highstyle Jiu-Jitsu	https://highstylejiujitsu.com	DC	Washington	
Hillcrest Academy of Goshin	https://www.hillcrestjujitsu.com/	OH	Cleveland	4431 Mayfield Rd
Hiscoe Jiu-Jitsu	https://www.hiscoejiujitsu.com	BC	Chilliwack	17-8635 Young Rd, Chilliwack, BC V2P 4P3
Honey Badger Training Facility	https://honeybadgertrainingfacility.com	MO	Rolla	937 Parkwood Drive
Honor Roll Brazilian Jiu-Jitsu / BJJ Santa Clarita CA 91350	https://www.honorrollbjj.com/	CA	Santa Clarita	26541 Golden Valley Road Santa Clarita, CA 91350
Hood Rich Jiu Jitsu	https://www.hoodrichjj.com	BC	Victoria	1510 Fort St, Victoria, BC V8S 5J2
Hooked Martial Arts + Fitness	https://www.hookedmartialarts.com/	AL	Opelika	
Hooligans Boxing & MMA	https://hooligans.business.site/	OH	North Ridgeville	39041 Center Ridge Rd
Hopkinsville Martial Arts	https://hoptownmartialarts.com/	KY	Hopkinsville	1005 Skyline Dr
House of Alameda Jiu Jitsu	https://alamedajj.com	HI	Keaau	16-212 Melekahiwa Place, Keaau, HI 96749
Houzn Jiu Jitsu Academy	https://www.houznjiujitsu.academy	SC	Mount Pleasant	498 Wando Park Blvd. Suite 100, Mount Pleasant, SC 29464
Huard's Ju-Jitsu & Karate	https://huardsmartialarts.com	ME	Winslow	234 Clinton Ave
