region	city	name	url	hostname
CO	Colorado Springs	Team Chaotic Combat Sports and Fitness	https://m.facebook.com/TeamChaoticCombatSports	m.facebook.com
CO	Denver	Edge MMA and Fitness	https://www.facebook.com/teamedgemma	www.facebook.com
CO	Greeley	Renegade BJJ and MMA	https://www.facebook.com/Rbjjmma	www.facebook.com
CO	Northglenn	Rocky Mountain Jiu Jitsu	https://www.instagram.com/rockymountainjj/	www.instagram.com
CO	Westminster	FusBoxe Sambo 1 Martial Arts	https://fusboxesambo1.business.site	fusboxesambo1.business.site
MT	Belgrade	Kron Gracie Academy	https://www.facebook.com/KRONGRACIEACADEMY	www.facebook.com
MT	Bozeman	Montana Mixed Martial Arts	https://www.facebook.com/montanamma	www.facebook.com
MT	Butte	Imperial BJJ	https://www.facebook.com/ImperialTruthBJJ	www.facebook.com
MT	Livingston	Livingston Jiu-Jitsu	https://www.facebook.com/livingstonjiujitsu	www.facebook.com
CA	Anaheim	Javier Blanchard Brazilian Jiu Jitsu / BJJ Anaheim CA 92801	https://www.facebook.com/javierblanchardbrazilianjiujitsu/	www.facebook.com
CA	Fresno	Checkmat Fresno-Roots Brazilian Jiu-Jitsu	https://www.facebook.com/rootsbjjfresno/	www.facebook.com
CA	Lawndale	Silva BJJ Lawndale CA (Aloisio Silva Affiliated Academy)	https://www.facebook.com/SilvaArmy/	www.facebook.com
CA	Merced	Merced Academy of Jiu Jitsu	https://www.facebook.com/mercedacademyofjiujitsu/	www.facebook.com
CA	Norco	CQuence Jiu Jitsiu	https://www.facebook.com/CQuenceBJJ/	www.facebook.com
CA	Ridgecrest	Flawless Victory MMA	https://www.facebook.com/FlawlessVictoryMma/	www.facebook.com
CA	San Pedro	San Pedro Fight Club/ Ribeiro Jiu-Jitsu San Pedro	https://www.facebook.com/ribeirojjsanpedro/	www.facebook.com
CA	Santa Clarita	Ultra Brazilian Jiu-Jitsu & Mixed Martial Arts Santa Clarita	https://ultrabrazilianjiujitsusantaclarita.business.site/	ultrabrazilianjiujitsusantaclarita.business.site
CA	Stanton	DE LA O Jiu-Jitsu	https://www.facebook.com/p/De-La-O-Jiu-Jitsu-Training-Center-Stanton-CA-100067935109362/	www.facebook.com
CA	Upland	Braga Jiu-Jitsu	https://braga-jiu-jitsu.business.site/	braga-jiu-jitsu.business.site
CA	Visalia	Resilience Brazilian Jiu-Jitsu Academy	https://www.facebook.com/resiliencebrazilianjiujitsu/	www.facebook.com
CA	West Sacramento	Buena Vida Jiu Jitsu Academy	https://www.facebook.com/BuenaVidaJiuJitsuAcademy/	www.facebook.com
TX	Azle	TMAC Tipton Martial Arts Club	https://tonytiptontraining.wixsite.com/website	tonytiptontraining.wixsite.com
TX	Conroe	Endure Cross- Training	https://www.facebook.com/pages/category/Martial-Arts-School/Endure-Cross-Training-102074864972461/	www.facebook.com
TX	Conroe	Gracie Humaita Conroe	https://www.facebook.com/yountbjj/	www.facebook.com
TX	Copperas Cove	Absolute Self Defense Academy	https://absolute-self-defense-academy-school.business.site	absolute-self-defense-academy-school.business.site
TX	Corpus Christi	Gracie Allegiance Jiu Jitsu/ APrx Fitness	https://gracieallegiancetexas.zenplanner.com/zenplanner/portal/scheduler.cfm	gracieallegiancetexas.zenplanner.com
TX	El Paso	El Paso Jiujitsu / Jiu-Jitsu El Paso TX 79936	https://www.facebook.com/elpaso.jiujitsu/	www.facebook.com
TX	El Paso	Warriors Lair MMA	https://www.facebook.com/LamarHarrisMMA/	www.facebook.com
TX	Fort Worth	War Room MMA, Kickboxing, and Fitness	https://war-room-mma-kickboxing-and-fitness.business.site/	war-room-mma-kickboxing-and-fitness.business.site
TX	Fort Worth	Zombie Krew Jiu Jitsu	https://www.instagram.com/p/C23I2Cop7ye/	www.instagram.com
TX	Lubbock	Different Breed MMA	https://www.facebook.com/differentbreedmma/	www.facebook.com
TX	Odessa	RuFFhouse MMA & Fitness	https://m.facebook.com/ruffhousemma/	m.facebook.com
TX	San Antonio	RDA Fitness & MMA	https://rda-fitness-mma.business.site/	rda-fitness-mma.business.site
FL	Cape Coral	Brazilian Jiu Jitsu Academy Cape Coral	https://steve6139.wixsite.com/bjjacademy	steve6139.wixsite.com
FL	Clearwater	Grady's Family Mixed Martial Arts	https://www.facebook.com/gradysmma/	www.facebook.com
FL	Cocoa Beach	Cocoa Beach Fight Club BJJ & Fitness	https://cocoa-beach-fight-club-bjj-fitness.business.site/	cocoa-beach-fight-club-bjj-fitness.business.site
FL	Hialeah	Gladiator Sports Fitness MMA	https://www.facebook.com/gladiatorsportsfitnessmma/	www.facebook.com
FL	Jacksonville	Jacksonville Gracie Jiu-Jitsu	https://jacksonville-gracie-jiu-jitsu.business.site/	jacksonville-gracie-jiu-jitsu.business.site
FL	Longwood	Relic Jiu Jitsu	https://cp.mystudio.io/t/	cp.mystudio.io
FL	Panama City Beach	Emerald Coast Jiu Jitsu (Beach Jiu Jitsu)	https://emeraldcoastjiujitsullc.sites.zenplanner.com/calendar.cfm	emeraldcoastjiujitsullc.sites.zenplanner.com
AZ	Chino Valley	Tri-City Ju-Jitsu	https://tri-city-ju-jitsu.business.site/	tri-city-ju-jitsu.business.site
AZ	Nogales	Fortress Fitness and MMA	https://fortress-fitness-and-mma.business.site/	fortress-fitness-and-mma.business.site
LA	Covington	Southern Karate Jiu-Jitsu	https://www.facebook.com/SouthernKarate/	www.facebook.com
LA	Lake Charles	Lake Area Brazilian Jiu-Jitsu	https://www.facebook.com/LABJJ/	www.facebook.com
LA	Leesville	Gracie United Team Jucao-Leesville	https://gracie-united-team-jucao-leesville.business.site/	gracie-united-team-jucao-leesville.business.site
LA	Opelousas	Team Juggernaut Brazilian Jiu Jitsu & Fitness Academy	https://teamjuggernautbrazilianjiujitsufitness.business.site/	teamjuggernautbrazilianjiujitsufitness.business.site
LA	Plaquemine	Gracie United Team Jucao Plaquemine	https://www.facebook.com/guplaquemine/	www.facebook.com
LA	Prairieville	Criterion Jiu Jitsu	https://www.facebook.com/people/Criterion-Jiu-Jitsu/100064091672810/	www.facebook.com
LA	Rayne	Studio 334	https://www.facebook.com/studio334la/	www.facebook.com
LA	Slidell	Clementi's Gladiator Academy	https://www.facebook.com/ClementisGladiatorAcademy	www.facebook.com
LA	Stonewall	Gracie Stonewall Jiu Jitsu Academy	https://www.facebook.com/Gatorpitbjj/	www.facebook.com
KY	Glasgow	13 Jiu Jitsu	https://www.facebook.com/13JiuJitsu	www.facebook.com
KY	Lexington	Lexington Academy of Martial Arts - LAMA	https://www.facebook.com/Lexington-Academy-of-Martial-Arts-LAMA-112562654001820/	www.facebook.com
KY	Maysville	Iron Fist Gym	https://www.facebook.com/pages/Iron-Fist-Gym/197039466976181	www.facebook.com
KY	Olive Hill	Wilson Fitness & Martial Arts	https://www.facebook.com/wilsonmartial.arts.3/	www.facebook.com
KY	Owensboro	Hidden Samurai Martial Arts	https://hsmaa7.wixsite.com/hiddensamurai	hsmaa7.wixsite.com
KY	Somerset	East West Karate and BJJ Somerset	https://www.facebook.com/eastwestmartialarts/	www.facebook.com
OH	Cambridge	Infinity Arts	https://www.facebook.com/InfinityArtsMartialArts/	www.facebook.com
OH	Dayton	Ilimitadas Brazilian Jiu-Jitsu	https://www.facebook.com/limitlessbjjmma/	www.facebook.com
OH	Elyria	Meltons Jiujitsu/MMA	https://m.facebook.com/MeltonsJiuJitsuAcademyOhio/	m.facebook.com
OH	Grafton	Castro-Brasa Jiu-Jitsu	https://www.facebook.com/McCrillisBJJ/	www.facebook.com
